#ID,extended Marcello&Barry,Weirather et al.,Type
Tb427-461,A1,N1,5
Tb427-462,A2,N2,1
Tb427-463,A1,N1,5
Tb427-464,B2,N4,3
Tb427-465,A1,N1,1
Tb427-466,A1,N1,2-1
Tb427-467,A1,N1,5
Tb427-468,A2,N2,1
Tb427-469,A1,N1,1
Tb427-470,B1,N4,2-2
Tb427-471,A1,N1,2-2
Tb427-472,A2,N2,3
Tb427-473,B1,N4,1
Tb427-474,A1,N1,2-2
Tb427-475,B1,N4,1
Tb427-476,A2,N2,1
Tb427-477,A1,N1,2-1
Tb427-478,A1,N1,5
Tb427-479,A3,N3,1
Tb427-480,B2,N4,1
Tb427-481,A1,N1,1
Tb427-482,A1,N1,3
Tb427-483,A1,N1,2-1
Tb427-484,A1,N1,2-2
Tb427-485,A1,N1,1
Tb427-486,B2,N4,1
Tb427-487,B1,N4,1
Tb427-488,A1,N1,2-2
Tb427-489,A1,N1,2-1
Tb427-490,B1,N4,1
Tb427-491,B2,N4,1
Tb427-492,A1,N1,2-1
Tb427-493,A3,N3,1
Tb427-494,A2,N2,1
Tb427-495,A2,N2,1
Tb427-496,B1,N4,1
Tb427-497,A1,N1,1
Tb427-498,B1,N4,1
Tb427-499,A1,N1,2-1
Tb427-5,A2,N2,3
Tb427-500,A1,N1,5
Tb427-501,B1,N4,3
Tb427-502,A1,N1,5
Tb427-503,B2,N4,1
Tb427-504,A2,N2,2-2
Tb427-505,A1,N1,5
Tb427-506,B2,N4,1
Tb427-507,A1,N1,2-1
Tb427-508,A1,N1,2-1
Tb427-509,A3,N3,1
Tb427-510,A3,N3,1
Tb427-511,B2,N4,2-2
Tb427-512,A2,N2,1
Tb427-513,B2,N4,1
Tb427-514,A2,N2,2-2
Tb427-515,A1,N1,5
Tb427-516,B1,N4,2-2
Tb427-517,A2,N2,2-2
Tb427-518,B2,N4,1
Tb427-519,A2,N2,1
Tb427-520,A1,N1,2-1
Tb427-521,B1,N4,1
Tb427-522,A1,N1,2-2
Tb427-523,A1,N1,2-2
Tb427-524,A1,N1,2-1
Tb427-525,A2,N2,2-2
Tb427-526,A3,N3,1
Tb427-527,A2,N2,1
Tb427-528,B2,N4,1
Tb427-529,A1,N1,2-2
Tb427-530,A1,N1,5
Tb427-531,A2,N2,2-2
Tb427-532,A1,N1,2-1
Tb427-533,B1,N4,1
Tb427-534,B2,N4,1
Tb427-535,A1,N1,2-2
Tb427-536,A2,N2,2-2
Tb427-537,A1,N1,2-1
Tb427-538,B1,N4,2-2
Tb427-539,A2,N2,1
Tb427-540,A2,N2,2-2
Tb427-541,A1,N1,5
Tb427-542,A2,N2,2-2
Tb427-543,A2,N2,2-2
Tb427-544,B2,N4,1
Tb427-545,A3,N3,1
Tb427-546,A1,N1,2-1
Tb427-547,B1,N4,2-2
Tb427-548,A1,N1,5
Tb427-549,A1,N1,2-2
Tb427-550,B2,N4,2-2
Tb427-551,B1,N4,2-2
Tb427-552,A1,N1,2-1
Tb427-553,A1,N1,2-1
Tb427-554,A1,N1,1
Tb427-555,A1,N1,2-2
Tb427-556,A2,N2,2-2
Tb427-557,A1,N1,5
Tb427-558,A3,N3,1
Tb427-559,A2,N2,2-2
Tb427-560,A3,N2,1
Tb427-561,A1,N1,2-1
Tb427-562,A1,N1,2-1
Tb427-563,A1,N1,2-1
Tb427-564,A1,N1,2-1
Tb427-565,A1,N1,2-1
Tb427-566,A1,N1,2-1
Tb427-567,B2,N4,2-2
Tb427-568,A1,N1,2-1
Tb427-569,A1,N1,2-1
Tb427-570,A1,N1,2-2
Tb427-571,A2,N2,2-2
Tb427-572,A1,N1,2-1
Tb427-573,A1,N1,2-1
Tb427-574,A1,N1,2-2
Tb427-575,A1,N1,1
Tb427-576,A2,N2,2-2
Tb427-577,A1,N1,2-1
Tb427-578,B2,N4,2-2
Tb427-579,A2,N2,2-2
Tb427-580,A1,N1,5
Tb427-581,A3,N3,1
Tb427-582,A2,N2,1
Tb427-583,A1,N1,2-2
Tb427-584,A3,N3,1
Tb427-585,A2,N2,2-2
Tb427-586,A2,N2,1
Tb427-587,A2,N2,1
Tb427-588,A2,N2,2-2
Tb427-589,A1,N1,2-1
Tb427-590,A3,N3,1
Tb427-591,A1,N1,2-1
Tb427-592,A2,N2,1
Tb427-593,A2,N2,2-2
Tb427-594,A1,N1,2-2
Tb427-595,A2,N2,2-2
Tb427-596,A1,N1,2-1
Tb427-597,A3,N3,1
Tb427-598,A1,N1,2-1
Tb427-599,B1,N4,2-1
Tb427-6,A2,N2,1
Tb427-600,A1,N1,2-1
Tb427-601,A2,N2,2-2
Tb427-602,A1,N1,2-1
Tb427-603,B1,N4,2-1
Tb427-604,A3,N3,1
Tb427-605,A3,N3,2-2
Tb427-606,A3,N2,1
Tb427-607,A2,N2,2-2
Tb427-608,B2,N4,1
